display_name,name,date,year,month,value_interval,fund_name,row_values,kpis
CSM Partners,Cost of Goods Sold,2010-03-01,2010,3,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2010-05-01,2010,5,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2010-05-01,2010,5,Month,Up and Coming Fund I,-12.495951885264862,QoQ
CSM Partners,Cost of Goods Sold,2010-06-01,2010,6,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2010-06-01,2010,6,Month,Up and Coming Fund I,-12.495951885264862,QoQ
CSM Partners,Cost of Goods Sold,2010-04-01,2010,4,Month,Up and Coming Fund I,-12.495951885264862,MoM
CSM Partners,Cost of Goods Sold,2010-04-01,2010,4,Month,Up and Coming Fund I,-12.495951885264862,QoQ
CSM Partners,Cost of Goods Sold,2010-02-01,2010,2,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2013-08-01,2013,8,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2013-08-01,2013,8,Month,Up and Coming Fund I,-15.350765845815351,QoQ
CSM Partners,Cost of Goods Sold,2013-08-01,2013,8,Month,Up and Coming Fund I,-3.8173076923076921,HYoHY
CSM Partners,Cost of Goods Sold,2013-08-01,2013,8,Month,Up and Coming Fund I,-5.9547008547008549,YoY
CSM Partners,Cost of Goods Sold,2010-10-01,2010,10,Month,Up and Coming Fund I,1.7862918755989634,MoM
CSM Partners,Cost of Goods Sold,2010-10-01,2010,10,Month,Up and Coming Fund I,1.7862918755989634,QoQ
CSM Partners,Cost of Goods Sold,2010-10-01,2010,10,Month,Up and Coming Fund I,-24.813365760812097,HYoHY
CSM Partners,Cost of Goods Sold,2010-12-01,2010,12,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2010-12-01,2010,12,Month,Up and Coming Fund I,1.7862918755989634,QoQ
CSM Partners,Cost of Goods Sold,2010-12-01,2010,12,Month,Up and Coming Fund I,-24.813365760812097,HYoHY
CSM Partners,Cost of Goods Sold,2013-06-01,2013,6,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2013-06-01,2013,6,Month,Up and Coming Fund I,13.625000000000002,QoQ
CSM Partners,Cost of Goods Sold,2013-06-01,2013,6,Month,Up and Coming Fund I,33.32,HYoHY
CSM Partners,Cost of Goods Sold,2013-06-01,2013,6,Month,Up and Coming Fund I,56.234375,YoY
CSM Partners,Cost of Goods Sold,2013-04-01,2013,4,Month,Up and Coming Fund I,13.625000000000002,MoM
CSM Partners,Cost of Goods Sold,2013-04-01,2013,4,Month,Up and Coming Fund I,13.625000000000002,QoQ
CSM Partners,Cost of Goods Sold,2013-04-01,2013,4,Month,Up and Coming Fund I,33.32,HYoHY
CSM Partners,Cost of Goods Sold,2013-04-01,2013,4,Month,Up and Coming Fund I,56.234375,YoY
CSM Partners,Cost of Goods Sold,2011-12-01,2011,12,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2011-12-01,2011,12,Month,Up and Coming Fund I,7.9727584134615466,QoQ
CSM Partners,Cost of Goods Sold,2011-12-01,2011,12,Month,Up and Coming Fund I,10.749256926949828,HYoHY
CSM Partners,Cost of Goods Sold,2011-12-01,2011,12,Month,Up and Coming Fund I,26.340761419892,YoY
CSM Partners,Cost of Goods Sold,2010-11-01,2010,11,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2010-11-01,2010,11,Month,Up and Coming Fund I,1.7862918755989634,QoQ
CSM Partners,Cost of Goods Sold,2010-11-01,2010,11,Month,Up and Coming Fund I,-24.813365760812097,HYoHY
CSM Partners,Cost of Goods Sold,2010-09-01,2010,9,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2010-09-01,2010,9,Month,Up and Coming Fund I,-26.132848683514865,QoQ
CSM Partners,Cost of Goods Sold,2010-09-01,2010,9,Month,Up and Coming Fund I,-35.363252371038641,HYoHY
CSM Partners,Cost of Goods Sold,2011-08-01,2011,8,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2011-08-01,2011,8,Month,Up and Coming Fund I,2.5714805792551849,QoQ
CSM Partners,Cost of Goods Sold,2011-08-01,2011,8,Month,Up and Coming Fund I,15.820978631586275,HYoHY
CSM Partners,Cost of Goods Sold,2011-08-01,2011,8,Month,Up and Coming Fund I,19.101871681618949,YoY
CSM Partners,Cost of Goods Sold,2011-09-01,2011,9,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2011-09-01,2011,9,Month,Up and Coming Fund I,2.5714805792551849,QoQ
CSM Partners,Cost of Goods Sold,2011-09-01,2011,9,Month,Up and Coming Fund I,15.820978631586275,HYoHY
CSM Partners,Cost of Goods Sold,2011-09-01,2011,9,Month,Up and Coming Fund I,19.101871681618949,YoY
CSM Partners,Cost of Goods Sold,2011-06-01,2011,6,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2011-06-01,2011,6,Month,Up and Coming Fund I,12.917331384422626,QoQ
CSM Partners,Cost of Goods Sold,2011-06-01,2011,6,Month,Up and Coming Fund I,14.078202351485139,HYoHY
CSM Partners,Cost of Goods Sold,2011-06-01,2011,6,Month,Up and Coming Fund I,-14.228439251348215,YoY
CSM Partners,Cost of Goods Sold,2011-07-01,2011,7,Month,Up and Coming Fund I,2.5714805792551849,MoM
CSM Partners,Cost of Goods Sold,2011-07-01,2011,7,Month,Up and Coming Fund I,2.5714805792551849,QoQ
CSM Partners,Cost of Goods Sold,2011-07-01,2011,7,Month,Up and Coming Fund I,15.820978631586275,HYoHY
CSM Partners,Cost of Goods Sold,2011-07-01,2011,7,Month,Up and Coming Fund I,19.101871681618949,YoY
CSM Partners,Cost of Goods Sold,2012-09-01,2012,9,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2012-09-01,2012,9,Month,Up and Coming Fund I,40.625,QoQ
CSM Partners,Cost of Goods Sold,2012-09-01,2012,9,Month,Up and Coming Fund I,34.523989450329793,HYoHY
CSM Partners,Cost of Goods Sold,2012-09-01,2012,9,Month,Up and Coming Fund I,40.625,YoY
CSM Partners,Cost of Goods Sold,2013-07-01,2013,7,Month,Up and Coming Fund I,-15.350765845815351,MoM
CSM Partners,Cost of Goods Sold,2013-07-01,2013,7,Month,Up and Coming Fund I,-15.350765845815351,QoQ
CSM Partners,Cost of Goods Sold,2013-07-01,2013,7,Month,Up and Coming Fund I,-3.8173076923076921,HYoHY
CSM Partners,Cost of Goods Sold,2013-07-01,2013,7,Month,Up and Coming Fund I,-5.9547008547008549,YoY
CSM Partners,Cost of Goods Sold,2013-02-01,2013,2,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2013-02-01,2013,2,Month,Up and Coming Fund I,17.333333333333336,QoQ
CSM Partners,Cost of Goods Sold,2013-02-01,2013,2,Month,Up and Coming Fund I,-2.2222222222222223,HYoHY
CSM Partners,Cost of Goods Sold,2013-02-01,2013,2,Month,Up and Coming Fund I,31.53456746254469,YoY
CSM Partners,Cost of Goods Sold,2011-01-01,2011,1,Month,Up and Coming Fund I,1.0280715571557155,MoM
CSM Partners,Cost of Goods Sold,2011-01-01,2011,1,Month,Up and Coming Fund I,1.0280715571557155,QoQ
CSM Partners,Cost of Goods Sold,2011-01-01,2011,1,Month,Up and Coming Fund I,2.8327277914554951,HYoHY
CSM Partners,Cost of Goods Sold,2011-01-01,2011,1,Month,Up and Coming Fund I,-33.532269257460094,YoY
CSM Partners,Cost of Goods Sold,2012-12-01,2012,12,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2012-12-01,2012,12,Month,Up and Coming Fund I,-16.666666666666664,QoQ
CSM Partners,Cost of Goods Sold,2012-12-01,2012,12,Month,Up and Coming Fund I,17.1875,HYoHY
CSM Partners,Cost of Goods Sold,2012-12-01,2012,12,Month,Up and Coming Fund I,8.5343208064133353,YoY
CSM Partners,Cost of Goods Sold,2013-05-01,2013,5,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2013-05-01,2013,5,Month,Up and Coming Fund I,13.625000000000002,QoQ
CSM Partners,Cost of Goods Sold,2013-05-01,2013,5,Month,Up and Coming Fund I,33.32,HYoHY
CSM Partners,Cost of Goods Sold,2013-05-01,2013,5,Month,Up and Coming Fund I,56.234375,YoY
CSM Partners,Cost of Goods Sold,2011-03-01,2011,3,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2011-03-01,2011,3,Month,Up and Coming Fund I,1.0280715571557155,QoQ
CSM Partners,Cost of Goods Sold,2011-03-01,2011,3,Month,Up and Coming Fund I,2.8327277914554951,HYoHY
CSM Partners,Cost of Goods Sold,2011-03-01,2011,3,Month,Up and Coming Fund I,-33.532269257460094,YoY
CSM Partners,Cost of Goods Sold,2012-10-01,2012,10,Month,Up and Coming Fund I,-16.666666666666664,MoM
CSM Partners,Cost of Goods Sold,2012-10-01,2012,10,Month,Up and Coming Fund I,-16.666666666666664,QoQ
CSM Partners,Cost of Goods Sold,2012-10-01,2012,10,Month,Up and Coming Fund I,17.1875,HYoHY
CSM Partners,Cost of Goods Sold,2012-10-01,2012,10,Month,Up and Coming Fund I,8.5343208064133353,YoY
CSM Partners,Cost of Goods Sold,2012-06-01,2012,6,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2012-06-01,2012,6,Month,Up and Coming Fund I,-4.33849639087659,QoQ
CSM Partners,Cost of Goods Sold,2012-06-01,2012,6,Month,Up and Coming Fund I,-7.3840462451939537,HYoHY
CSM Partners,Cost of Goods Sold,2012-06-01,2012,6,Month,Up and Coming Fund I,2.5714805792551849,YoY
CSM Partners,Cost of Goods Sold,2012-04-01,2012,4,Month,Up and Coming Fund I,-4.33849639087659,MoM
CSM Partners,Cost of Goods Sold,2012-04-01,2012,4,Month,Up and Coming Fund I,-4.33849639087659,QoQ
CSM Partners,Cost of Goods Sold,2012-04-01,2012,4,Month,Up and Coming Fund I,-7.3840462451939537,HYoHY
CSM Partners,Cost of Goods Sold,2012-04-01,2012,4,Month,Up and Coming Fund I,2.5714805792551849,YoY
CSM Partners,Cost of Goods Sold,2012-08-01,2012,8,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2012-08-01,2012,8,Month,Up and Coming Fund I,40.625,QoQ
CSM Partners,Cost of Goods Sold,2012-08-01,2012,8,Month,Up and Coming Fund I,34.523989450329793,HYoHY
CSM Partners,Cost of Goods Sold,2012-08-01,2012,8,Month,Up and Coming Fund I,40.625,YoY
CSM Partners,Cost of Goods Sold,2013-03-01,2013,3,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2013-03-01,2013,3,Month,Up and Coming Fund I,17.333333333333336,QoQ
CSM Partners,Cost of Goods Sold,2013-03-01,2013,3,Month,Up and Coming Fund I,-2.2222222222222223,HYoHY
CSM Partners,Cost of Goods Sold,2013-03-01,2013,3,Month,Up and Coming Fund I,31.53456746254469,YoY
CSM Partners,Cost of Goods Sold,2013-01-01,2013,1,Month,Up and Coming Fund I,17.333333333333336,MoM
CSM Partners,Cost of Goods Sold,2013-01-01,2013,1,Month,Up and Coming Fund I,17.333333333333336,QoQ
CSM Partners,Cost of Goods Sold,2013-01-01,2013,1,Month,Up and Coming Fund I,-2.2222222222222223,HYoHY
CSM Partners,Cost of Goods Sold,2013-01-01,2013,1,Month,Up and Coming Fund I,31.53456746254469,YoY
CSM Partners,Cost of Goods Sold,2011-02-01,2011,2,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2011-02-01,2011,2,Month,Up and Coming Fund I,1.0280715571557155,QoQ
CSM Partners,Cost of Goods Sold,2011-02-01,2011,2,Month,Up and Coming Fund I,2.8327277914554951,HYoHY
CSM Partners,Cost of Goods Sold,2011-02-01,2011,2,Month,Up and Coming Fund I,-33.532269257460094,YoY
CSM Partners,Cost of Goods Sold,2012-11-01,2012,11,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2012-11-01,2012,11,Month,Up and Coming Fund I,-16.666666666666664,QoQ
CSM Partners,Cost of Goods Sold,2012-11-01,2012,11,Month,Up and Coming Fund I,17.1875,HYoHY
CSM Partners,Cost of Goods Sold,2012-11-01,2012,11,Month,Up and Coming Fund I,8.5343208064133353,YoY
CSM Partners,Cost of Goods Sold,2012-03-01,2012,3,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2012-03-01,2012,3,Month,Up and Coming Fund I,-3.1836734103214583,QoQ
CSM Partners,Cost of Goods Sold,2012-03-01,2012,3,Month,Up and Coming Fund I,4.5352584134615457,HYoHY
CSM Partners,Cost of Goods Sold,2012-03-01,2012,3,Month,Up and Coming Fund I,21.073759309528789,YoY
CSM Partners,Cost of Goods Sold,2012-05-01,2012,5,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2012-05-01,2012,5,Month,Up and Coming Fund I,-4.33849639087659,QoQ
CSM Partners,Cost of Goods Sold,2012-05-01,2012,5,Month,Up and Coming Fund I,-7.3840462451939537,HYoHY
CSM Partners,Cost of Goods Sold,2012-05-01,2012,5,Month,Up and Coming Fund I,2.5714805792551849,YoY
CSM Partners,Cost of Goods Sold,2012-07-01,2012,7,Month,Up and Coming Fund I,40.625,MoM
CSM Partners,Cost of Goods Sold,2012-07-01,2012,7,Month,Up and Coming Fund I,40.625,QoQ
CSM Partners,Cost of Goods Sold,2012-07-01,2012,7,Month,Up and Coming Fund I,34.523989450329793,HYoHY
CSM Partners,Cost of Goods Sold,2012-07-01,2012,7,Month,Up and Coming Fund I,40.625,YoY
CSM Partners,Cost of Goods Sold,2013-11-01,2013,11,Month,Up and Coming Fund I,0.0,MoM
CSM Partners,Cost of Goods Sold,2013-11-01,2013,11,Month,Up and Coming Fund I,1.1696491052684195,QoQ
CSM Partners,Cost of Goods Sold,2013-11-01,2013,11,Month,Up and Coming Fund I,-14.36066683591436,HYoHY
CSM Partners,Cost of Goods Sold,2013-11-01,2013,11,Month,Up and Coming Fund I,14.174358974358976,YoY
CSM Partners,Cost of Goods Sold,2013-10-01,2013,10,Month,Up and Coming Fund I,1.1696491052684195,MoM
CSM Partners,Cost of Goods Sold,2013-10-01,2013,10,Month,Up and Coming Fund I,1.1696491052684195,QoQ
CSM Partners,Cost of Goods Sold,2013-10-01,2013,10,Month,Up and Coming Fund I,-14.36066683591436,HYoHY
CSM Partners,Cost of Goods Sold,2013-10-01,2013,10,Month,Up and Coming Fund I,14.174358974358976,YoY
